samplename	orig_filenames	group	tissue	sex	driver	target	replicate	lane
A4_tj_polII_M_testis_6	/data/Oliverlab/fastq/160819_run0496/Sample_A4_tj_polII_male_6/A4_tj_polII_male_6_S76_L004_R1_001.fastq.gz	A4_tj_polII_male_6	testis	male	tj	polII	6	4
B4_c587_dam_M_testis_5	/data/Oliverlab/fastq/160819_run0496/Sample_B4_c587_dam_male_5/B4_c587_dam_male_5_S70_L004_R1_001.fastq.gz	B4_c587_dam_male_5	testis	male	c587	dam	5	4
C4_tj_dam_M_testis_4	/data/Oliverlab/fastq/160819_run0496/Sample_C4_tj_dam_male_4/C4_tj_dam_male_4_S64_L004_R1_001.fastq.gz	C4_tj_dam_male_4	testis	male	tj	dam	4	4
D4_tj_polII_M_testis_1	/data/Oliverlab/fastq/160819_run0496/Sample_D4_tj_polII_male_1/D4_tj_polII_male_1_S75_L004_R1_001.fastq.gz	D4_tj_polII_male_1	testis	male	tj	polII	1	4
E4_c587_polII_M_testis_2	/data/Oliverlab/fastq/160819_run0496/Sample_E4_c587_polII_male_2/E4_c587_polII_male_2_S69_L004_R1_001.fastq.gz	E4_c587_polII_male_2	testis	male	c587	polII	2	4
F4_c587_polII_M_testis_4	/data/Oliverlab/fastq/160819_run0496/Sample_F4_c587_polII_male_4/F4_c587_polII_male_4_S68_L004_R1_001.fastq.gz	F4_c587_polII_male_4	testis	male	c587	polII	4	4
G4_c587_dam_M_testis_1	/data/Oliverlab/fastq/160819_run0496/Sample_G4_c587_dam_male_1/G4_c587_dam_male_1_S74_L004_R1_001.fastq.gz	G4_c587_dam_male_1	testis	male	c587	dam	1	4
H4_tj_dam_M_testis_3	/data/Oliverlab/fastq/160819_run0496/Sample_H4_tj_dam_male_3/H4_tj_dam_male_3_S79_L004_R1_001.fastq.gz	H4_tj_dam_male_3	testis	male	tj	dam	3	4
A5_c587_polII_M_testis_3	/data/Oliverlab/fastq/160819_run0496/Sample_A5_c587_polII_male_3/A5_c587_polII_male_3_S95_L005_R1_001.fastq.gz	A5_c587_polII_male_3	testis	male	c587	polII	3	5
B5_tj_polII_M_testis_5	/data/Oliverlab/fastq/160819_run0496/Sample_B5_tj_polII_male_5/B5_tj_polII_male_5_S89_L005_R1_001.fastq.gz	B5_tj_polII_male_5	testis	male	tj	polII	5	5
C5_c587_polII_M_testis_6	/data/Oliverlab/fastq/160819_run0496/Sample_C5_c587_polII_male_6/C5_c587_polII_male_6_S84_L005_R1_001.fastq.gz	C5_c587_polII_male_6	testis	male	c587	polII	6	5
D5_tj_dam_M_testis_2	/data/Oliverlab/fastq/160819_run0496/Sample_D5_tj_dam_male_2/D5_tj_dam_male_2_S94_L005_R1_001.fastq.gz	D5_tj_dam_male_2	testis	male	tj	dam	2	5
E5_c587_polII_F_ovary_1	/data/Oliverlab/fastq/160819_run0496/Sample_E5_c587_polII_female_1/E5_c587_polII_female_1_S88_L005_R1_001.fastq.gz	E5_c587_polII_female_1	ovary	female	c587	polII	1	5
F5_c587_polII_F_ovary_3	/data/Oliverlab/fastq/160819_run0496/Sample_F5_c587_polII_female_3/F5_c587_polII_female_3_S83_L005_R1_001.fastq.gz	F5_c587_polII_female_3	ovary	female	c587	polII	3	5
G5_c587_polII_F_ovary_5	/data/Oliverlab/fastq/160819_run0496/Sample_G5_c587_polII_female_5/G5_c587_polII_female_5_S93_L005_R1_001.fastq.gz	G5_c587_polII_female_5	ovary	female	c587	polII	5	5
H5_tj_dam_F_ovary_5	/data/Oliverlab/fastq/160819_run0496/Sample_H5_tj_dam_female_5/H5_tj_dam_female_5_S87_L005_R1_001.fastq.gz	H5_tj_dam_female_5	ovary	female	tj	dam	5	5
A6_tj_polII_F_ovary_6	/data/Oliverlab/fastq/160819_run0496/Sample_A6_tj_polII_female_6/A6_tj_polII_female_6_S82_L005_R1_001.fastq.gz	A6_tj_polII_female_6	ovary	female	tj	polII	6	5
B6_tj_polII_F_ovary_1	/data/Oliverlab/fastq/160819_run0496/Sample_B6_tj_polII_female_1/B6_tj_polII_female_1_S92_L005_R1_001.fastq.gz	B6_tj_polII_female_1	ovary	female	tj	polII	1	5
C6_c587_dam_F_ovary_4	/data/Oliverlab/fastq/160819_run0496/Sample_C6_c587_dam_female_4/C6_c587_dam_female_4_S86_L005_R1_001.fastq.gz	C6_c587_dam_female_4	ovary	female	c587	dam	4	5
D6_tj_polII_F_ovary_2	/data/Oliverlab/fastq/160819_run0496/Sample_D6_tj_polII_female_2/D6_tj_polII_female_2_S81_L005_R1_001.fastq.gz	D6_tj_polII_female_2	ovary	female	tj	polII	2	5
E6_c587_polII_F_ovary_6	/data/Oliverlab/fastq/160819_run0496/Sample_E6_c587_polII_female_6/E6_c587_polII_female_6_S91_L005_R1_001.fastq.gz	E6_c587_polII_female_6	ovary	female	c587	polII	6	5
F6_tj_dam_F_ovary_3	/data/Oliverlab/fastq/160819_run0496/Sample_F6_tj_dam_female_3/F6_tj_dam_female_3_S85_L005_R1_001.fastq.gz	F6_tj_dam_female_3	ovary	female	tj	dam	3	5
G6_c587_dam_F_ovary_2	/data/Oliverlab/fastq/160819_run0496/Sample_G6_c587_dam_female_2/G6_c587_dam_female_2_S80_L005_R1_001.fastq.gz	G6_c587_dam_female_2	ovary	female	c587	dam	2	5
H6_tj_polII_F_ovary_4	/data/Oliverlab/fastq/160819_run0496/Sample_H6_tj_polII_female_4/H6_tj_polII_female_4_S90_L005_R1_001.fastq.gz	H6_tj_polII_female_4	ovary	female	tj	polII	4	5
